customer_id,propensity_score,engagement_score,received_personalization,made_purchase,revenue,match_id
CUST00001,0.571637576028997,0.354,1,1,67.39,0
CUST00002,0.552417807410195,0.286,1,0,0.0,1
CUST00004,0.5807063214705194,0.408,1,0,0.0,2
CUST00005,0.5202423551274981,0.142,1,0,0.0,3
CUST00006,0.5976416637855034,0.571,1,0,0.0,4
CUST00007,0.5014884049099662,0.111,1,0,0.0,5
CUST00008,0.5063724330172152,0.142,1,0,0.0,6
CUST00010,0.5623857033839165,0.326,1,0,0.0,7
CUST00011,0.544756033994806,0.299,1,0,0.0,8
CUST00012,0.5377562955162939,0.101,1,1,32.98,9
CUST00014,0.5526242547166875,0.335,1,0,0.0,10
CUST00015,0.5215649928606783,0.125,1,0,0.0,11
CUST00018,0.5821374709154392,0.492,1,0,0.0,12
CUST00019,0.52368361356621,0.227,1,0,0.0,13
CUST00020,0.5339187891089787,0.19,1,0,0.0,14
CUST00021,0.5938878906934731,0.493,1,0,0.0,15
CUST00022,0.558038520186469,0.285,1,0,0.0,16
CUST00023,0.5192238098838249,0.165,1,0,0.0,17
CUST00024,0.5450470374289148,0.125,1,1,84.41,18
CUST00025,0.5400531400801987,0.268,1,1,149.01,19
CUST00026,0.60673345467152,0.516,1,1,59.86,20
CUST00027,0.5333213129455269,0.175,1,0,0.0,21
CUST00029,0.5295667019022622,0.206,1,1,266.5,22
CUST00030,0.5733629783197147,0.374,1,0,0.0,23
CUST00034,0.5769107793478774,0.298,1,0,0.0,24
CUST00037,0.5486340018439148,0.348,1,0,0.0,25
CUST00039,0.5690480207453147,0.299,1,0,0.0,26
CUST00041,0.5569093924994012,0.25,1,1,213.09,27
CUST00042,0.5279349108956896,0.274,1,1,110.12,28
CUST00045,0.5452085236042973,0.186,1,0,0.0,29
CUST00046,0.5261619356961643,0.072,1,0,0.0,30
CUST00047,0.573105333427536,0.442,1,1,38.07,31
CUST00048,0.5217441837974041,0.122,1,1,91.94,32
CUST00050,0.6046328377714596,0.562,1,0,0.0,33
CUST00052,0.5351886657276491,0.265,1,0,0.0,34
CUST00053,0.549229904044914,0.369,1,0,0.0,35
CUST00055,0.6612856447440398,0.79,1,0,0.0,36
CUST00061,0.5374292147798783,0.265,1,0,0.0,37
CUST00062,0.587567963829844,0.445,1,0,0.0,38
CUST00063,0.5345765757266376,0.125,1,0,0.0,39
CUST00065,0.5838382031620727,0.516,1,0,0.0,40
CUST00066,0.6173691422828265,0.622,1,0,0.0,41
CUST00069,0.6171877261636637,0.681,1,0,0.0,42
CUST00073,0.6070817418916221,0.5,1,0,0.0,43
CUST00075,0.5732147177505899,0.403,1,0,0.0,44
CUST00076,0.5412794429177684,0.308,1,0,0.0,45
CUST00083,0.5149191126092396,0.114,1,0,0.0,46
CUST00085,0.5555926305398567,0.32,1,0,0.0,47
CUST00086,0.5903243245426895,0.415,1,1,71.95,48
CUST00088,0.5795611247220402,0.354,1,1,31.28,49
CUST00092,0.6055162160165002,0.459,1,0,0.0,50
CUST00101,0.5896587716395688,0.41,1,0,0.0,51
CUST00102,0.557404293135075,0.358,1,0,0.0,52
CUST00103,0.5423875081129305,0.149,1,0,0.0,53
CUST00104,0.5368587209885334,0.234,1,0,0.0,54
CUST00105,0.6182809385849634,0.535,1,0,0.0,55
CUST00107,0.5865225695805599,0.358,1,0,0.0,56
CUST00110,0.551684604679988,0.259,1,0,0.0,57
CUST00111,0.5501494515538019,0.36,1,1,45.98,58
CUST00113,0.5751150229503268,0.407,1,1,116.52,59
CUST00114,0.5588224128987038,0.335,1,0,0.0,60
CUST00115,0.5418257663595794,0.245,1,0,0.0,61
CUST00119,0.6112137540139083,0.6,1,0,0.0,62
CUST00123,0.5993099527519173,0.486,1,0,0.0,63
CUST00124,0.5830285817759554,0.361,1,0,0.0,64
CUST00125,0.542413045615097,0.253,1,0,0.0,65
CUST00126,0.6281282032539895,0.676,1,0,0.0,66
CUST00127,0.5667134211838468,0.34,1,1,83.27,67
CUST00128,0.6104142602125101,0.566,1,0,0.0,68
CUST00129,0.5138052013210024,0.052,1,0,0.0,69
CUST00131,0.5859972363983175,0.465,1,0,0.0,70
CUST00132,0.5444516423832209,0.228,1,0,0.0,71
CUST00133,0.5457190378307519,0.263,1,0,0.0,72
CUST00135,0.5003753983455178,0.024,1,0,0.0,73
CUST00137,0.5464801567317712,0.132,1,0,0.0,74
CUST00138,0.5020566010763007,0.005,1,1,64.19,75
CUST00139,0.5451401251613971,0.256,1,0,0.0,76
CUST00140,0.5171537677914382,0.157,1,0,0.0,77
CUST00141,0.5725107786139412,0.353,1,0,0.0,78
CUST00144,0.5792512177710305,0.456,1,0,0.0,79
CUST00145,0.5815994701866106,0.324,1,0,0.0,80
CUST00146,0.5868495326623973,0.377,1,0,0.0,81
CUST00150,0.5901654323285587,0.49,1,0,0.0,82
CUST00153,0.534276741937564,0.186,1,0,0.0,83
CUST00154,0.5032206589398207,0.133,1,1,71.07,84
CUST00161,0.5990010015134576,0.505,1,0,0.0,85
CUST00162,0.5214169314461832,0.14,1,0,0.0,86
CUST00165,0.5443151555315606,0.236,1,0,0.0,87
CUST00166,0.5681225144672237,0.261,1,0,0.0,88
CUST00167,0.5704741476160146,0.43,1,0,0.0,89
CUST00168,0.528418826220822,0.211,1,0,0.0,90
CUST00169,0.5509005571981939,0.301,1,0,0.0,91
CUST00170,0.5329765263170074,0.164,1,0,0.0,92
CUST00171,0.5268061997391935,0.119,1,0,0.0,93
CUST00173,0.548771029548436,0.278,1,0,0.0,94
CUST00174,0.5515410971250556,0.204,1,1,69.6,95
